date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:33:34	103/103	---M-Z	200	added ('OK')	text/plain	etag:%227fa8e8fa51db2188c7375819993826cf%22	https://rectnglescrcles.framer.media/robots.txt		(from )
12:33:34	285021/285021	---M-Z	200	added ('OK')	text/html	etag:%22a590524c334d2be3956e14f0ef54ebc2%22	https://rectnglescrcles.framer.media/	C:/My%20Web%20Sites/Portfolio/rectnglescrcles.framer.media/index.html	(from )
12:33:35	10878/10878	---MC-	200	added ('OK')	image/jpeg	etag:%22152a1dcdf3e573d72a47ce689a97b493%22	https://framerusercontent.com/images/VOH0WxS1FoC1WLNOjYlrQB1CXzQ.jpg	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/VOH0WxS1FoC1WLNOjYlrQB1CXzQ.jpg	(from https://rectnglescrcles.framer.media/)
12:33:36	183590/183590	---M-Z	200	added ('OK')	text/html	etag:%22efcdbc32b275919a61fdfb778c068271%22	https://rectnglescrcles.framer.media/produt-list	C:/My%20Web%20Sites/Portfolio/rectnglescrcles.framer.media/produt-list.html	(from https://rectnglescrcles.framer.media/)
12:33:37	192154/192154	---M-Z	200	added ('OK')	text/html	etag:%22d80cb65704bd8e3d6b4abe6b39db147d%22	https://rectnglescrcles.framer.media/about	C:/My%20Web%20Sites/Portfolio/rectnglescrcles.framer.media/about.html	(from https://rectnglescrcles.framer.media/)
12:33:38	195598/195598	---M-Z	200	added ('OK')	text/html	etag:%22a386d08b1e1722dcee242201eea04744%22	https://rectnglescrcles.framer.media/blog-list	C:/My%20Web%20Sites/Portfolio/rectnglescrcles.framer.media/blog-list.html	(from https://rectnglescrcles.framer.media/)
12:33:39	594118/594118	---MC-	200	added ('OK')	image/jpeg	etag:%222a3a9eace91352335746c7d889dab971%22	https://framerusercontent.com/images/gbgWRndtCRx7BWCLmXNdHe3moSw.jpg	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/gbgWRndtCRx7BWCLmXNdHe3moSw.jpg	(from https://rectnglescrcles.framer.media/)
12:33:40	171728/171728	---M-Z	200	added ('OK')	text/html	etag:%22fa4a2dfd00a7d12833f8f4d76563d986%22	https://rectnglescrcles.framer.media/work-product-page/zapex-markets	C:/My%20Web%20Sites/Portfolio/rectnglescrcles.framer.media/work-product-page/zapex-markets.html	(from https://rectnglescrcles.framer.media/)
12:33:41	612692/612692	---MC-	200	added ('OK')	image/jpeg	etag:%22862e4214cfec9c868164190ef939b070%22	https://framerusercontent.com/images/51zkehXJgFvnOd9QMLEHkJTQ.jpg	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/51zkehXJgFvnOd9QMLEHkJTQ.jpg	(from https://rectnglescrcles.framer.media/)
12:33:41	278953/278953	---MC-	200	added ('OK')	image/jpeg	etag:%22e0c61b9bff0c671ce4d24853e9257700%22	https://framerusercontent.com/images/k0k3OIBebvQA12kZ8ht2ilO5u0.jpg	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/k0k3OIBebvQA12kZ8ht2ilO5u0.jpg	(from https://rectnglescrcles.framer.media/)
12:33:41	170252/170252	---M-Z	200	added ('OK')	text/html	etag:%2250fe04eb43ffa0ef2c77d729c02c4de5%22	https://rectnglescrcles.framer.media/work-product-page/axis	C:/My%20Web%20Sites/Portfolio/rectnglescrcles.framer.media/work-product-page/axis.html	(from https://rectnglescrcles.framer.media/)
12:33:43	370248/370248	---MC-	200	added ('OK')	image/jpeg	etag:%2299445a58d4087e1876b39895bdd99990%22	https://framerusercontent.com/images/x38PO4SNYeqRJIqHeTEI02S7qPQ.jpg	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/x38PO4SNYeqRJIqHeTEI02S7qPQ.jpg	(from https://rectnglescrcles.framer.media/)
12:33:43	169995/169995	---M-Z	200	added ('OK')	text/html	etag:%226fa2fdb6414cca204da9efef456a847a%22	https://rectnglescrcles.framer.media/work-product-page/spectra	C:/My%20Web%20Sites/Portfolio/rectnglescrcles.framer.media/work-product-page/spectra.html	(from https://rectnglescrcles.framer.media/)
12:33:43	1778950/1778950	---MC-	200	added ('OK')	image/jpeg	etag:%2252bc66d91be9fa76f4c3e86750659bdf%22	https://framerusercontent.com/images/lvdhwK1xVdXkZz6OYsV7OZtTkWs.jpg	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/lvdhwK1xVdXkZz6OYsV7OZtTkWs.jpg	(from https://rectnglescrcles.framer.media/)
